Date,c,o,h,l,v
2015-02-24,267.11329589688,271.65162048685,270.74395556886,265.66103202808,6523
2015-02-25,266.20563097888,267.11329589688,267.29482888047,264.93490009369,3263
2015-02-26,266.20563097888,266.20563097888,266.20563097888,266.20563097888,300
2015-03-01,265.29796606088,268.20249379847,268.92862573287,265.29796606088,1933
2015-03-02,266.20563097888,265.29796606088,266.20563097888,265.11643307728,295
2015-03-03,266.20563097888,266.20563097888,267.11329589688,266.02409799528,2842
2015-03-04,268.02096081487,266.20563097888,270.74395556886,267.11329589688,7595
2015-03-09,274.01154927364,268.02096081487,281.81746756841,271.65162048685,17353
2015-03-10,272.37775242125,274.01154927364,274.37461524084,270.38088960166,8062
2015-03-11,270.74395556886,272.37775242125,273.46695032285,268.92862573287,6554
2015-03-12,268.92862573287,270.74395556886,270.74395556886,268.38402678207,3005
2015-03-15,268.02096081487,268.92862573287,273.46695032285,267.11329589688,1392
2015-03-16,263.66416920849,268.02096081487,267.47636186407,261.6673063889,2145
2015-03-17,267.11329589688,263.66416920849,268.92862573287,261.8488393725,618
2015-03-18,265.29796606088,267.11329589688,267.11329589688,263.48263622489,1876
2015-03-19,267.11329589688,265.29796606088,267.11329589688,264.93490009369,1050
2015-03-22,267.11329589688,267.11329589688,269.47322468366,266.20563097888,2301
2015-03-23,263.66416920849,267.11329589688,264.02723517569,262.5749713069,1903
2015-03-24,262.5749713069,263.66416920849,263.30110324129,260.9411744545,1199
2015-03-25,263.48263622489,262.5749713069,263.48263622489,262.5749713069,241
2015-03-26,263.66416920849,263.48263622489,264.39030114289,263.66416920849,556
2015-03-29,266.20563097888,263.66416920849,266.20563097888,262.5749713069,3102
2015-03-30,263.48263622489,266.20563097888,263.48263622489,262.0303723561,1227
2015-03-31,261.6673063889,263.48263622489,267.11329589688,261.6673063889,3905
2015-04-01,260.9411744545,261.6673063889,262.5749713069,260.75964147091,1358
2015-04-02,260.9411744545,260.9411744545,265.29796606088,258.94431163491,1296
2015-04-05,258.03664671692,260.9411744545,258.03664671692,257.67358074972,960
2015-04-06,258.39971268412,258.03664671692,258.39971268412,256.22131688093,2073
2015-04-07,259.67044356931,258.39971268412,259.67044356931,256.22131688093,1725
2015-04-08,261.6673063889,259.67044356931,261.6673063889,259.85197655291,1040
2015-04-09,262.2119053397,261.6673063889,264.20876815929,261.6673063889,2240
2015-04-12,263.48263622489,262.2119053397,266.20563097888,262.5749713069,1093
2015-04-13,258.21817970052,263.48263622489,260.03350953651,258.03664671692,1159
2015-04-15,258.94431163491,258.21817970052,261.6673063889,258.03664671692,1028
2015-04-16,258.94431163491,258.94431163491,258.94431163491,254.58752002853,314
2015-04-19,256.40284986453,258.94431163491,258.94431163491,256.40284986453,763
2015-04-20,252.59065720894,256.40284986453,257.12898179892,252.59065720894,2300
2015-04-21,252.04605825815,252.59065720894,256.22131688093,251.86452527455,1162
2015-04-22,252.04605825815,252.04605825815,252.04605825815,250.77532737295,125
2015-04-23,247.68926665177,252.40912422534,249.86766245496,247.68926665177,571
2015-05-26,231.94491098421,247.57399320718,243.60840518046,231.94491098421,85
2015-05-28,224.48027469862,231.94491098421,228.21259284141,224.48027469862,142
2015-05-31,223.31392527899,224.48027469862,224.48027469862,220.98122643974,384
2015-06-02,240.80916657336,223.31392527899,241.27570634121,226.81297353786,1180
2015-06-03,260.8703765909,240.80916657336,260.8703765909,244.77475460008,1022
2015-06-04,264.13615496585,260.8703765909,269.96790206397,259.70402717128,4018
2015-06-07,264.13615496585,264.13615496585,264.13615496585,261.10364647483,1750
2015-06-08,261.8034561266,264.13615496585,268.56828276042,260.63710670698,3447
2015-06-09,257.60459821595,261.8034561266,275.09983951032,257.60459821595,1392
2015-06-10,264.13615496585,257.60459821595,266.70212368902,253.87228007315,3074
2015-06-11,259.47075728735,264.13615496585,264.6026947337,259.47075728735,1282
2015-06-14,260.40383682305,259.47075728735,263.669615198,257.1380584481,2006
2015-06-15,260.40383682305,260.40383682305,260.40383682305,260.40383682305,60
2015-06-16,261.8034561266,260.40383682305,261.8034561266,261.8034561266,74
2015-06-17,259.47075728735,261.8034561266,261.8034561266,253.17247042138,2123
2015-06-18,259.47075728735,259.47075728735,261.8034561266,259.47075728735,214
2015-06-21,257.1380584481,259.47075728735,257.1380584481,255.97170902848,598
2015-06-22,257.1380584481,254.338819841,257.1380584481,252.4726607696,1809
2015-06-23,265.06923450155,257.1380584481,272.30060090322,257.1380584481,4053
2015-06-24,264.13615496585,266.23558392117,266.23558392117,262.50326577837,3852
2015-06-25,264.13615496585,261.8034561266,265.06923450155,261.8034561266,1927
2015-06-28,268.80155264435,268.56828276042,269.96790206397,267.63520322472,2682
2015-06-29,278.13234800134,273.23368043892,286.99660359049,273.23368043892,4565
2015-06-30,275.79964916209,276.03291904602,278.13234800134,273.000410555,4548
2015-07-01,274.40002985855,280.46504684059,280.46504684059,274.40002985855,3563
2015-07-02,275.56637927817,274.40002985855,275.56637927817,273.46695032285,770
2015-07-05,273.46695032285,275.56637927817,275.56637927817,272.30060090322,1154
2015-07-06,269.96790206397,269.96790206397,269.96790206397,268.80155264435,270
2015-07-07,270.43444183182,268.80155264435,278.13234800134,268.80155264435,2119
2015-07-08,272.30060090322,273.46695032285,274.86656962639,272.30060090322,1445
2015-07-09,275.56637927817,267.86847310865,275.56637927817,267.86847310865,1758
2015-07-12,279.06542753704,280.23177695667,280.23177695667,279.06542753704,150
2015-07-14,274.40002985855,274.40002985855,274.40002985855,274.40002985855,43
2015-07-15,271.60079125145,269.73463218005,271.60079125145,265.30250438547,462
2015-07-16,276.49945881387,271.60079125145,276.49945881387,267.63520322472,1503
2015-07-22,267.4019333408,276.49945881387,276.49945881387,267.4019333408,139
2015-07-23,269.96790206397,267.4019333408,269.96790206397,269.96790206397,15
2015-07-26,276.96599858172,269.96790206397,276.96599858172,272.53387078715,220
2015-07-27,273.46695032285,276.96599858172,279.29869742097,273.46695032285,4401
2015-07-28,276.96599858172,273.46695032285,277.19926846564,268.80155264435,5281
2015-07-29,274.63329974247,276.96599858172,275.79964916209,272.30060090322,6343
2015-07-30,276.96599858172,274.63329974247,276.96599858172,272.30060090322,4237
2015-08-02,275.33310939424,276.96599858172,275.79964916209,274.63329974247,2997
2015-08-03,273.70022020677,275.33310939424,275.79964916209,273.70022020677,4648
2015-08-04,277.89907811742,273.70022020677,277.89907811742,275.33310939424,4310
2015-08-05,280.46504684059,277.89907811742,282.79774567984,273.46695032285,3131
2015-08-06,288.62949277796,280.46504684059,288.62949277796,279.29869742097,3102
2015-08-09,287.46314335834,288.62949277796,288.62949277796,287.22987347441,2133
2015-08-10,288.39622289404,287.46314335834,297.96028813496,287.46314335834,2748
2015-08-11,286.29679393872,288.39622289404,288.39622289404,281.39812637629,1889
2015-08-12,289.56257231366,282.79774567984,289.56257231366,280.46504684059,1214
2015-08-13,285.36371440302,290.02911208151,290.02911208151,283.96409509947,1393
2015-08-16,280.46504684059,280.46504684059,284.89717463517,280.46504684059,11021
2015-08-17,282.79774567984,282.79774567984,287.46314335834,278.13234800134,325
2015-08-18,285.13044451909,278.36561788527,287.46314335834,278.13234800134,3922
